defeito,H2,CH4,C2H2,C2H4,C2H6
1,0,3,0,20,1
1,0,2,1,2,1
1,0,0,0,0,4
1,0,0,0,0,0
1,30,4,0,31,3
1,2,1,0,0,0
1,10,0,1,14,3
1,5,1,0,5,1
1,19,10,0,31,0
1,0,41,0,22,88
1,0,62,0,10,113
1,8,4,0,17,0
1,2,7,0,19,3
1,27,0,0,0,0
1,0,0,0,1,0
1,0,1,0,3,0
1,34,5,0,25,5
1,0,3,0,3,0
1,0,1,0,1,0
1,28,2,0,37,1
1,26,1,0,22,0
1,15,0,0,12,0
1,0,1,0,6,0
1,8,0,0,10,0
1,3,1,0,9,0
1,4,1,0,11,0
1,11,4,0,34,0
1,0,3,0,11,3
1,12,0,0,33,0
1,14,0,0,20,1
1,9,0,0,19,1
1,2,1,0,17,0
1,0,1,0,9,0
1,8,1,0,2,0
1,10,4,0,3,0
1,0,0,0,3,0
1,10,0,0,5,2
1,32,0,0,3,0
1,16,1,0,2,1
1,12,1,0,1,0
1,23,0,0,0,0
1,29,5,0,0,0
1,0,1,0,13,7
1,8,1,0,13,13
1,18,4,0,19,30
1,0,0,0,2,0
1,23,1,0,1,1
1,21,0,0,4,1
1,24,0,0,3,1
1,16,0,0,0,0
1,0,1,0,4,0
1,0,4,0,11,3
1,0,1,0,1,1
1,11,2,0,4,0
1,0,2,0,7,1
1,5,0,0,9,2
1,3,3,0,6,0
1,0,3,0,7,3
1,7,2,0,6,2
1,6,4,0,7,3
1,13,11,0,6,3
1,0,5,0,4,0
1,34,1,0,6,2
1,0,1,0,0,0
1,26,1,0,2,0
1,5,0,0,8,0
1,0,0,0,8,0
1,19,0,0,9,4
1,15,0,0,12,2
1,4,4,0,5,0
1,0,1,0,3,1
1,0,0,0,4,0
1,6,0,0,6,0
1,5,5,0,3,15
1,0,3,0,1,7
1,4,0,0,4,0
1,3,0,0,4,0
1,0,1,0,2,0
1,5,0,0,7,1
1,6,0,0,7,1
1,0,2,0,8,0
1,0,2,0,5,0
1,0,2,0,2,0
1,6,0,0,2,0
1,18,0,0,21,1
1,15,0,0,3,0
1,8,0,0,2,5
1,4,2,0,1,0
1,4,4,0,1,7
1,6,0,0,12,1
1,5,1,0,12,1
1,0,5,0,12,5
1,0,1,0,5,0
1,0,2,0,4,0
1,6,3,0,12,0
1,2,0,0,0,0
1,7,7,0,3,0
1,3,0,0,3,0
1,3,0,0,1,0
1,0,0,0,15,0
1,0,0,0,11,0
1,6,0,0,20,0
1,6,1,0,17,1
1,0,1,0,11,0
1,0,2,0,10,0
1,0,3,0,9,0
1,22,0,0,5,0
1,18,1,0,3,0
1,7,0,0,7,0
1,4,0,0,5,0
1,0,0,0,14,0
1,6,0,0,21,1
1,7,0,0,2,0
1,5,0,0,4,0
1,0,0,0,32,0
1,8,0,0,30,0
1,4,0,0,33,1
1,0,3,0,34,6
1,0,1,0,23,2
1,0,1,0,33,1
1,17,1,0,15,0
1,0,0,0,10,0
1,6,0,0,17,1
1,3,1,0,15,0
1,0,1,0,8,4
1,4,4,0,18,0
1,30,4,0,1,0
1,6,1,0,0,0
1,3,1,0,0,0
1,23,0,0,4,0
1,15,1,0,4,0
1,0,3,0,4,0
1,6,2,0,1,1
1,13,2,0,1,1
1,6,0,0,28,1
1,9,2,0,13,5
1,0,1,0,20,0
1,0,1,0,16,0
1,0,1,0,10,1
1,7,4,0,3,0
1,5,0,0,1,0
1,20,0,0,0,0
1,0,1,0,0,1
1,7,4,0,0,0
1,0,0,0,18,0
1,5,0,0,17,0
1,26,0,0,25,2
1,32,0,0,21,2
1,3,1,0,1,0
1,6,0,0,3,0
1,7,0,0,6,1
1,0,1,0,5,7
1,5,2,0,2,2
1,9,1,0,8,1
1,9,0,0,6,1
1,4,0,0,2,1
1,0,13,0,2,1
1,7,5,0,2,1
1,8,6,0,2,1
1,7,2,0,1,1
1,2,4,0,7,0
1,4,1,0,2,0
1,15,3,0,0,0
1,2,0,0,11,0
1,2,0,0,18,0
1,4,0,0,13,0
1,0,1,0,27,0
