Data,Defeito,H2,CH4,C2H2,C2H4,C2H6,Fonte
17/2/1985,Normal,0,3,0,20,1,CPFL
13/10/2007,Normal,0,2,1,2,1,CPFL
28/3/1986,Normal,0,0,0,0,4,CPFL
15/5/1988,Normal,0,0,0,0,0,CPFL
17/2/2001,Normal,30,4,0,31,3,CPFL
3/7/2000,Normal,2,1,0,0,0,CPFL
12/4/2007,Normal,10,0,1,14,3,CPFL
22/9/2007,Normal,5,1,0,5,1,CPFL
14/5/2007,Normal,19,10,0,31,0,CPFL
2/5/2009,Normal,0,41,0,22,88,CPFL
16/10/2003,Normal,0,62,0,10,113,CPFL
16/9/1998,Normal,8,4,0,17,0,CPFL
17/2/1986,Normal,2,7,0,19,3,CPFL
19/2/2006,Normal,27,0,0,0,0,CPFL
8/2/2008,Normal,0,0,0,1,0,CPFL
10/12/2001,Normal,0,1,0,3,0,CPFL
16/5/2009,Normal,34,5,0,25,5,CPFL
6/6/2009,Normal,0,3,0,3,0,CPFL
12/6/1984,Normal,0,1,0,1,0,CPFL
28/3/2002,Normal,28,2,0,37,1,CPFL
25/6/1982,Normal,26,1,0,22,0,CPFL
17/12/2004,Normal,15,0,0,12,0,CPFL
14/9/2007,Normal,0,1,0,6,0,CPFL
9/8/2001,Normal,8,0,0,10,0,CPFL
15/3/1985,Normal,3,1,0,9,0,CPFL
14/4/1986,Normal,4,1,0,11,0,CPFL
21/7/1991,Normal,11,4,0,34,0,CPFL
6/1/1995,Normal,0,3,0,11,3,CPFL
11/3/2009,Normal,12,0,0,33,0,CPFL
18/11/2008,Normal,14,0,0,20,1,CPFL
17/6/2010,Normal,9,0,0,19,1,CPFL
28/11/2007,Normal,2,1,0,17,0,CPFL
8/3/2008,Normal,0,1,0,9,0,CPFL
19/11/2006,Normal,8,1,0,2,0,CPFL
5/12/1992,Normal,10,4,0,3,0,CPFL
1/8/2008,Normal,0,0,0,3,0,CPFL
20/9/1994,Normal,10,0,0,5,2,CPFL
23/2/1995,Normal,32,0,0,3,0,CPFL
22/3/1997,Normal,16,1,0,2,1,CPFL
28/12/1998,Normal,12,1,0,1,0,CPFL
25/6/1999,Normal,23,0,0,0,0,CPFL
17/3/2001,Normal,29,5,0,0,0,CPFL
16/12/2005,Normal,0,1,0,13,7,CPFL
20/6/2006,Normal,8,1,0,13,13,CPFL
16/4/2008,Normal,18,4,0,19,30,CPFL
18/7/2010,Normal,0,0,0,2,0,CPFL
2/6/2009,Normal,23,1,0,1,1,CPFL
22/4/2009,Normal,21,0,0,4,1,CPFL
27/12/2008,Normal,24,0,0,3,1,CPFL
16/6/2008,Normal,16,0,0,0,0,CPFL
28/12/2007,Normal,0,1,0,4,0,CPFL
16/6/2010,Normal,0,4,0,11,3,CPFL
11/12/2009,Normal,0,1,0,1,1,CPFL
12/6/2009,Normal,11,2,0,4,0,CPFL
11/12/2008,Normal,0,2,0,7,1,CPFL
13/6/2008,Normal,5,0,0,9,2,CPFL
13/12/2007,Normal,3,3,0,6,0,CPFL
7/8/2010,Normal,0,3,0,7,3,CPFL
14/2/2010,Normal,7,2,0,6,2,CPFL
9/8/2009,Normal,6,4,0,7,3,CPFL
13/1/2009,Normal,13,11,0,6,3,CPFL
15/7/2008,Normal,0,5,0,4,0,CPFL
25/1/2008,Normal,34,1,0,6,2,CPFL
27/7/2007,Normal,0,1,0,0,0,CPFL
26/1/2007,Normal,26,1,0,2,0,CPFL
17/6/2010,Normal,5,0,0,8,0,CPFL
10/12/2009,Normal,0,0,0,8,0,CPFL
13/6/2009,Normal,19,0,0,9,4,CPFL
10/12/2008,Normal,15,0,0,12,2,CPFL
10/6/2008,Normal,4,4,0,5,0,CPFL
11/12/2007,Normal,0,1,0,3,1,CPFL
11/12/2007,Normal,0,0,0,4,0,CPFL
30/6/2007,Normal,6,0,0,6,0,CPFL
6/3/2010,Normal,5,5,0,3,15,CPFL
16/9/2009,Normal,0,3,0,1,7,CPFL
17/3/2009,Normal,4,0,0,4,0,CPFL
28/8/2008,Normal,3,0,0,4,0,CPFL
22/8/2008,Normal,0,1,0,2,0,CPFL
15/8/2008,Normal,5,0,0,7,1,CPFL
17/2/2008,Normal,6,0,0,7,1,CPFL
16/8/2007,Normal,0,2,0,8,0,CPFL
16/8/2007,Normal,0,2,0,5,0,CPFL
8/2/2007,Normal,0,2,0,2,0,CPFL
17/2/2009,Normal,6,0,0,2,0,CPFL
15/10/2008,Normal,18,0,0,21,1,CPFL
24/4/2008,Normal,15,0,0,3,0,CPFL
26/10/2007,Normal,8,0,0,2,5,CPFL
11/7/2008,Normal,4,2,0,1,0,CPFL
6/1/2008,Normal,4,4,0,1,7,CPFL
6/1/2008,Normal,6,0,0,12,1,CPFL
5/7/2007,Normal,5,1,0,12,1,CPFL
10/9/2010,Normal,0,5,0,12,5,CPFL
9/3/2010,Normal,0,1,0,5,0,CPFL
18/9/2009,Normal,0,2,0,4,0,CPFL
20/3/2009,Normal,6,3,0,12,0,CPFL
13/3/2008,Normal,2,0,0,0,0,CPFL
20/9/2007,Normal,7,7,0,3,0,CPFL
19/12/2008,Normal,3,0,0,3,0,CPFL
6/6/2008,Normal,3,0,0,1,0,CPFL
1/12/2007,Normal,0,0,0,15,0,CPFL
13/5/2007,Normal,0,0,0,11,0,CPFL
23/6/2010,Normal,6,0,0,20,0,CPFL
10/12/2009,Normal,6,1,0,17,1,CPFL
16/1/2009,Normal,0,1,0,11,0,CPFL
13/7/2008,Normal,0,2,0,10,0,CPFL
22/6/2009,Normal,0,3,0,9,0,CPFL
19/12/2008,Normal,22,0,0,5,0,CPFL
6/6/2008,Normal,18,1,0,3,0,CPFL
1/12/2007,Normal,7,0,0,7,0,CPFL
13/5/2009,Normal,4,0,0,5,0,CPFL
14/10/2008,Normal,0,0,0,14,0,CPFL
23/4/2008,Normal,6,0,0,21,1,CPFL
20/10/2007,Normal,7,0,0,2,0,CPFL
20/10/2007,Normal,5,0,0,4,0,CPFL
14/4/2007,Normal,0,0,0,32,0,CPFL
8/5/2009,Normal,8,0,0,30,0,CPFL
10/9/2008,Normal,4,0,0,33,1,CPFL
11/3/2008,Normal,0,3,0,34,6,CPFL
24/12/2007,Normal,0,1,0,23,2,CPFL
30/11/2007,Normal,0,1,0,33,1,CPFL
24/6/2007,Normal,17,1,0,15,0,CPFL
26/6/2010,Normal,0,0,0,10,0,CPFL
25/11/2009,Normal,6,0,0,17,1,CPFL
15/4/2009,Normal,3,1,0,15,0,CPFL
25/12/2008,Normal,0,1,0,8,4,CPFL
19/6/2008,Normal,4,4,0,18,0,CPFL
13/12/2007,Normal,30,4,0,1,0,CPFL
