Id,Defeito,H2,CH4,C2H2,C2H4,C2H6,Fonte
1,1,0,153,0,8,295,CPFL
2,1,0,3,0,20,1,CPFL
3,1,0,2,1,2,1,CPFL
4,1,20,233,0,9,276,CPFL
5,1,0,153,0,8,295,CPFL
6,1,0,0,0,0,4,CPFL
7,1,17,29,0,121,45,CPFL
8,1,0,0,0,0,0,CPFL
9,1,7,6,0,46,0,CPFL
10,1,30,4,0,31,3,CPFL
11,1,2,1,0,0,0,CPFL
12,1,22,30,0,74,9,CPFL
13,1,86,150,0,40,134,CPFL
14,1,73,173,0,0,414,CPFL
15,1,880,126,0,14,44,CPFL
16,1,13,0,4,156,21,CPFL
17,1,10,0,1,14,3,CPFL
18,1,5,1,0,5,1,CPFL
19,1,62,386,0,817,163,CPFL
20,1,42,1,0,3,0,CPFL
21,1,0,0,0,0,0,CPFL
22,1,129,161,213,451,41,CPFL
23,1,19,10,0,31,0,CPFL
24,1,0,41,0,22,88,CPFL
25,1,8,87,1,11,195,CPFL
26,1,0,62,0,10,113,CPFL
27,1,37,187,0,22,914,CPFL
28,1,120,99,0,15,407,CPFL
29,1,6,106,0,28,72,CPFL
30,1,0,100,0,9,91,CPFL
31,1,15,283,0,8,659,CPFL
32,1,8,4,0,17,0,CPFL
33,1,9,193,0,51,779,CPFL
34,1,0,0,0,0,0,CPFL
35,1,0,0,0,0,0,CPFL
36,1,2,7,0,19,3,CPFL
37,1,39,7,1,5,4,CPFL
38,1,27,0,0,0,0,CPFL
39,1,0,0,0,1,0,CPFL
40,1,36,8,0,4,1,CPFL
41,1,0,1,0,3,0,CPFL
42,1,34,5,0,25,5,CPFL
43,1,0,68,0,77,30,CPFL
44,1,0,3,0,3,0,CPFL
45,1,0,1,0,1,0,CPFL
46,1,9,1,0,57,1,CPFL
46,1,21,1,0,40,1,CPFL
47,1,27,2,0,53,2,CPFL
47,1,23,3,0,44,1,CPFL
48,1,28,2,0,37,1,CPFL
48,1,26,1,0,22,0,CPFL
49,1,60,0,0,2,0,CPFL
49,1,90,0,0,3,0,CPFL
50,1,58,0,0,2,1,CPFL
50,1,46,2,0,2,2,CPFL
51,1,69,1,0,2,0,CPFL
51,1,54,1,0,1,1,CPFL
52,1,15,0,0,12,0,CPFL
52,1,0,1,0,6,0,CPFL
53,1,8,0,0,10,0,CPFL
53,1,3,1,0,9,0,CPFL
54,1,4,1,0,11,0,CPFL
54,1,0,1,0,6,0,CPFL
55,1,11,4,0,34,0,CPFL
55,1,0,3,0,11,3,CPFL
56,1,12,0,0,33,0,CPFL
56,1,14,0,0,20,1,CPFL
57,1,9,0,0,19,1,CPFL
57,1,2,1,0,17,0,CPFL
58,1,0,1,0,9,0,CPFL
58,1,8,1,0,2,0,CPFL
59,1,8,1,0,2,0,CPFL
59,1,10,4,0,3,0,CPFL
60,1,0,0,0,3,0,CPFL
60,1,10,0,0,5,2,CPFL
61,1,32,0,0,3,0,CPFL
61,1,0,1,0,1,0,CPFL
62,1,0,0,0,0,0,CPFL
62,1,16,1,0,2,1,CPFL
63,1,12,1,0,1,0,CPFL
63,1,23,0,0,0,0,CPFL
64,1,23,0,0,0,0,CPFL
64,1,29,5,0,0,0,CPFL
65,1,0,0,0,0,0,CPFL
65,1,0,1,0,85,0,CPFL
66,1,0,2,0,86,0,CPFL
66,1,0,1,0,91,0,CPFL
67,1,0,1,0,13,7,CPFL
67,1,8,1,0,13,13,CPFL
68,1,8,1,0,13,13,CPFL
68,1,18,4,0,19,30,CPFL
69,1,0,0,0,2,0,CPFL
69,1,23,1,0,1,1,CPFL
70,1,21,0,0,4,1,CPFL
70,1,24,0,0,3,1,CPFL
71,1,16,1,0,2,1,CPFL
71,1,16,0,0,0,0,CPFL
72,1,0,1,0,4,0,CPFL
72,1,0,4,0,11,3,CPFL
